tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
26160,note_on,166,0,2,,,,,,,,,,,,,,,0,,,41,0
26200,set_tempo,240,1,0,,,,,,,,,,,,416667,,,,,,,
26280,note_on,240,0,1,,,,,,,,,,,,,,,0,,,69,58
26400,note_on,120,0,1,,,,,,,,,,,,,,,0,,,69,0
26400,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,59
26400,note_on,240,0,2,,,,,,,,,,,,,,,0,,,53,39
26400,note_on,0,0,2,,,,,,,,,,,,,,,0,,,63,47
26440,set_tempo,240,1,0,,,,,,,,,,,,415225,,,,,,,
26640,note_on,240,0,1,,,,,,,,,,,,,,,0,,,72,0
26640,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,60
26680,set_tempo,240,1,0,,,,,,,,,,,,413793,,,,,,,
26880,note_on,0,0,2,,,,,,,,,,,,,,,0,,,63,46
26880,note_on,0,0,2,,,,,,,,,,,,,,,0,,,57,39
26880,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,39
26880,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,0
26880,note_on,480,0,2,,,,,,,,,,,,,,,0,,,63,0
26880,note_on,240,0,1,,,,,,,,,,,,,,,0,,,75,0
26880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,67
26920,set_tempo,240,1,0,,,,,,,,,,,,412371,,,,,,,
27120,set_tempo,200,1,0,,,,,,,,,,,,530973,,,,,,,
27240,note_on,0,0,1,,,,,,,,,,,,,,,0,,,77,63
27240,note_on,360,0,1,,,,,,,,,,,,,,,0,,,79,0
27300,note_on,60,0,1,,,,,,,,,,,,,,,0,,,77,0
27300,note_on,0,0,1,,,,,,,,,,,,,,,0,,,77,49
27360,note_on,0,0,2,,,,,,,,,,,,,,,0,,,46,51
27360,note_on,480,0,2,,,,,,,,,,,,,,,0,,,63,0
27360,note_on,0,0,2,,,,,,,,,,,,,,,0,,,57,0
27360,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,0
27360,control_change,0,0,2,,,,,,,,,,,,,,,0,64,0,,
27360,set_tempo,240,1,0,,,,,,,,,,,,439560,,,,,,,
27360,note_on,0,0,1,,,,,,,,,,,,,,,0,,,86,67
27360,note_on,60,0,1,,,,,,,,,,,,,,,0,,,77,0
27424,control_change,64,0,2,,,,,,,,,,,,,,,0,64,127,,
27480,note_on,120,0,1,,,,,,,,,,,,,,,0,,,86,0
27600,note_on,176,0,2,,,,,,,,,,,,,,,0,,,46,0
27600,set_tempo,240,1,0,,,,,,,,,,,,419580,,,,,,,
27640,set_tempo,40,1,0,,,,,,,,,,,,424028,,,,,,,
27720,note_on,240,0,1,,,,,,,,,,,,,,,0,,,84,61
27840,note_on,120,0,1,,,,,,,,,,,,,,,0,,,84,0
27840,note_on,240,0,2,,,,,,,,,,,,,,,0,,,53,31
27840,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,31
27840,note_on,0,0,2,,,,,,,,,,,,,,,0,,,62,37
27840,note_on,0,0,1,,,,,,,,,,,,,,,0,,,82,50
27900,note_on,0,0,1,,,,,,,,,,,,,,,0,,,84,49
27900,note_on,60,0,1,,,,,,,,,,,,,,,0,,,82,0
27960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,82,57
27960,note_on,60,0,1,,,,,,,,,,,,,,,0,,,84,0
28080,note_on,120,0,1,,,,,,,,,,,,,,,0,,,82,0
28080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,52
28320,set_tempo,680,1,0,,,,,,,,,,,,431655,,,,,,,
28320,note_on,240,0,1,,,,,,,,,,,,,,,0,,,79,0
28320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,77,49
28320,note_on,480,0,2,,,,,,,,,,,,,,,0,,,62,0
28320,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,0
28320,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,0
28320,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,31
28320,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,31
28320,note_on,0,0,2,,,,,,,,,,,,,,,0,,,62,36
28560,set_tempo,240,1,0,,,,,,,,,,,,452830,,,,,,,
28740,note_on,420,0,1,,,,,,,,,,,,,,,0,,,79,49
28800,note_on,480,0,2,,,,,,,,,,,,,,,0,,,62,0
28800,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,0
28800,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,0
28800,note_on,0,0,2,,,,,,,,,,,,,,,0,,,46,48
28800,note_on,0,0,1,,,,,,,,,,,,,,,0,,,77,0
28800,set_tempo,240,1,0,,,,,,,,,,,,476190,,,,,,,
28800,note_on,0,0,1,,,,,,,,,,,,,,,0,,,82,56
28800,note_on,60,0,1,,,,,,,,,,,,,,,0,,,79,0
28821,control_change,21,0,2,,,,,,,,,,,,,,,0,64,0,,
