tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,note,velocity,channel
47040,note_on,0,0,1,,,,,,,,,,,,62,64,0
47040,note_off,240,0,1,,,,,,,,,,,,63,64,0
47040,note_on,0,0,2,,,,,,,,,,,,47,64,0
47040,note_off,240,0,2,,,,,,,,,,,,48,64,0
47280,note_off,240,0,2,,,,,,,,,,,,47,64,0
47280,note_on,0,0,2,,,,,,,,,,,,48,64,0
47280,note_on,0,0,1,,,,,,,,,,,,63,64,0
47280,note_off,240,0,1,,,,,,,,,,,,62,64,0
47520,note_off,240,0,2,,,,,,,,,,,,48,64,0
47520,note_on,0,0,1,,,,,,,,,,,,65,64,0
47520,note_off,240,0,1,,,,,,,,,,,,63,64,0
47520,note_on,0,0,2,,,,,,,,,,,,50,64,0
47760,note_off,240,0,1,,,,,,,,,,,,65,64,0
47760,note_on,0,0,2,,,,,,,,,,,,47,64,0
47760,note_on,0,0,1,,,,,,,,,,,,62,64,0
47760,note_off,240,0,2,,,,,,,,,,,,50,64,0
48000,note_on,0,0,1,,,,,,,,,,,,63,64,0
48000,note_off,240,0,1,,,,,,,,,,,,62,64,0
48000,note_on,0,0,2,,,,,,,,,,,,48,64,0
48000,note_off,240,0,2,,,,,,,,,,,,47,64,0
48240,note_on,0,0,1,,,,,,,,,,,,60,64,0
48240,note_off,240,0,1,,,,,,,,,,,,63,64,0
48480,note_on,0,0,2,,,,,,,,,,,,50,64,0
48480,note_off,480,0,2,,,,,,,,,,,,48,64,0
48480,note_on,0,0,1,,,,,,,,,,,,57,64,0
48480,note_off,240,0,1,,,,,,,,,,,,60,64,0
48720,note_off,240,0,2,,,,,,,,,,,,50,64,0
48720,note_on,0,0,2,,,,,,,,,,,,51,64,0
48720,note_on,0,0,1,,,,,,,,,,,,60,64,0
48720,note_off,240,0,1,,,,,,,,,,,,57,64,0
48960,note_off,240,0,1,,,,,,,,,,,,60,64,0
48960,note_on,0,0,1,,,,,,,,,,,,54,64,0
48960,note_on,0,0,2,,,,,,,,,,,,50,64,0
48960,note_off,240,0,2,,,,,,,,,,,,51,64,0
49440,note_on,0,0,1,,,,,,,,,,,,55,64,0
49440,note_off,480,0,1,,,,,,,,,,,,54,64,0
49440,note_off,480,0,2,,,,,,,,,,,,50,64,0
49440,note_on,0,0,2,,,,,,,,,,,,48,64,0
49680,note_on,0,0,1,,,,,,,,,,,,57,64,0
49680,note_off,240,0,1,,,,,,,,,,,,55,64,0
49920,note_on,0,0,1,,,,,,,,,,,,59,64,0
49920,note_off,240,0,1,,,,,,,,,,,,57,64,0
49920,note_off,480,0,2,,,,,,,,,,,,48,64,0
49920,note_on,0,0,2,,,,,,,,,,,,55,64,0
50160,note_off,240,0,1,,,,,,,,,,,,59,64,0
50160,note_on,0,0,1,,,,,,,,,,,,60,64,0
50400,note_off,240,0,1,,,,,,,,,,,,60,64,0
50400,note_on,0,0,1,,,,,,,,,,,,62,64,0
50640,note_off,240,0,1,,,,,,,,,,,,62,64,0
50640,note_on,0,0,1,,,,,,,,,,,,63,64,0
50880,note_on,0,0,2,,,,,,,,,,,,56,64,0
50880,note_off,960,0,2,,,,,,,,,,,,55,64,0
50880,note_off,240,0,1,,,,,,,,,,,,63,64,0
50880,note_on,0,0,1,,,,,,,,,,,,65,64,0
51360,note_off,480,0,1,,,,,,,,,,,,65,64,0
51360,note_on,0,0,1,,,,,,,,,,,,63,64,0
51600,note_off,240,0,1,,,,,,,,,,,,63,64,0
51600,note_on,0,0,1,,,,,,,,,,,,62,64,0
51840,note_off,240,0,1,,,,,,,,,,,,62,64,0
51840,note_on,0,0,1,,,,,,,,,,,,63,64,0
51840,note_off,960,0,2,,,,,,,,,,,,56,64,0
52080,note_off,240,0,1,,,,,,,,,,,,63,64,0
52080,note_on,240,0,2,,,,,,,,,,,,59,64,0
52080,note_on,0,0,1,,,,,,,,,,,,62,64,0
52320,note_on,0,0,1,,,,,,,,,,,,60,64,0
52320,note_on,0,0,2,,,,,,,,,,,,56,64,0
52320,note_off,240,0,1,,,,,,,,,,,,62,64,0
52320,note_off,240,0,2,,,,,,,,,,,,59,64,0
52560,note_on,0,0,1,,,,,,,,,,,,63,64,0
52560,note_off,240,0,1,,,,,,,,,,,,60,64,0
52560,note_on,0,0,2,,,,,,,,,,,,55,64,0
52560,note_off,240,0,2,,,,,,,,,,,,56,64,0
52800,note_on,0,0,1,,,,,,,,,,,,62,64,0
52800,note_off,240,0,2,,,,,,,,,,,,55,64,0
52800,note_off,240,0,1,,,,,,,,,,,,63,64,0
53040,note_on,240,0,2,,,,,,,,,,,,53,64,0
53280,note_off,480,0,1,,,,,,,,,,,,62,64,0
53280,note_on,0,0,2,,,,,,,,,,,,51,64,0
53280,note_off,240,0,2,,,,,,,,,,,,53,64,0
53280,note_on,0,0,1,,,,,,,,,,,,60,64,0
53520,note_on,0,0,2,,,,,,,,,,,,50,64,0
53520,note_on,0,0,1,,,,,,,,,,,,59,64,0
53520,note_off,240,0,2,,,,,,,,,,,,51,64,0
53520,note_off,240,0,1,,,,,,,,,,,,60,64,0
53760,note_off,240,0,2,,,,,,,,,,,,50,64,0
53760,note_on,0,0,1,,,,,,,,,,,,60,64,0
53760,note_off,240,0,1,,,,,,,,,,,,59,64,0
54000,note_on,240,0,2,,,,,,,,,,,,51,64,0
54240,note_off,240,0,2,,,,,,,,,,,,51,64,0
54240,note_on,0,0,2,,,,,,,,,,,,50,64,0
54240,note_on,0,0,1,,,,,,,,,,,,62,64,0
54240,note_off,480,0,1,,,,,,,,,,,,60,64,0
54480,note_on,0,0,2,,,,,,,,,,,,48,64,0
54480,note_off,240,0,2,,,,,,,,,,,,50,64,0
