tick,type,key,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,program,channel,note,velocity
6432,note_on,,0,0,1,,,,,,,0,76,72
6432,note_on,,192,0,1,,,,,,,0,74,0
6432,note_on,,96,0,3,,,,,,,0,59,0
6432,note_on,,0,0,3,,,,,,,0,61,72
6432,note_on,,0,0,4,,,,,,,0,52,72
6528,note_on,,96,0,4,,,,,,,0,52,0
6528,note_on,,0,0,4,,,,,,,0,50,72
6528,note_on,,192,0,2,,,,,,,0,67,0
6528,note_on,,96,0,1,,,,,,,0,76,0
6528,note_on,,96,0,3,,,,,,,0,61,0
6528,note_on,,0,0,3,,,,,,,0,62,72
6528,note_on,,0,0,1,,,,,,,0,69,72
6528,note_on,,0,0,2,,,,,,,0,67,72
6624,note_on,,96,0,1,,,,,,,0,69,0
6624,note_on,,0,0,1,,,,,,,0,81,72
6624,note_on,,96,0,2,,,,,,,0,67,0
6624,note_on,,0,0,2,,,,,,,0,65,72
6672,note_on,,0,0,2,,,,,,,0,64,72
6672,note_on,,48,0,1,,,,,,,0,81,0
6672,note_on,,0,0,1,,,,,,,0,82,72
6672,note_on,,48,0,2,,,,,,,0,65,0
6720,note_on,,192,0,3,,,,,,,0,62,0
6720,note_on,,48,0,1,,,,,,,0,82,0
6720,note_on,,0,0,1,,,,,,,0,81,72
6720,note_on,,192,0,4,,,,,,,0,50,0
6720,note_on,,0,0,2,,,,,,,0,65,72
6720,note_on,,48,0,2,,,,,,,0,64,0
6816,note_on,,0,0,2,,,,,,,0,70,72
6816,note_on,,96,0,1,,,,,,,0,81,0
6816,note_on,,96,0,2,,,,,,,0,65,0
6816,note_on,,0,0,1,,,,,,,0,79,72
6816,note_on,,96,0,3,,,,,,,0,62,72
6864,note_on,,48,0,3,,,,,,,0,62,0
6864,note_on,,0,0,3,,,,,,,0,61,72
6912,note_on,,0,0,3,,,,,,,0,62,72
6912,note_on,,96,0,2,,,,,,,0,70,0
6912,note_on,,0,0,2,,,,,,,0,69,72
6912,note_on,,48,0,3,,,,,,,0,61,0
6912,note_on,,0,0,1,,,,,,,0,77,72
6912,note_on,,96,0,1,,,,,,,0,79,0
7008,note_on,,96,0,2,,,,,,,0,69,0
7008,note_on,,0,0,2,,,,,,,0,67,72
7008,note_on,,288,0,4,,,,,,,0,50,72
7008,note_on,,96,0,3,,,,,,,0,62,0
7008,note_on,,0,0,3,,,,,,,0,64,72
7008,note_on,,96,0,1,,,,,,,0,77,0
7008,note_on,,0,0,1,,,,,,,0,73,72
7056,note_on,,0,0,4,,,,,,,0,52,72
7056,note_on,,48,0,4,,,,,,,0,50,0
7104,note_on,,48,0,4,,,,,,,0,52,0
7104,note_on,,96,0,3,,,,,,,0,64,0
7104,note_on,,0,0,2,,,,,,,0,69,72
7104,note_on,,96,0,2,,,,,,,0,67,0
7104,note_on,,0,0,3,,,,,,,0,65,72
7104,note_on,,96,0,1,,,,,,,0,73,0
7104,note_on,,0,0,4,,,,,,,0,50,72
7104,note_on,,0,0,1,,,,,,,0,74,72
7200,note_on,,96,0,1,,,,,,,0,74,0
7200,note_on,,0,0,4,,,,,,,0,48,72
7200,note_on,,96,0,4,,,,,,,0,50,0
7200,note_on,,96,0,3,,,,,,,0,65,0
7200,note_on,,96,0,2,,,,,,,0,69,0
7200,note_on,,0,0,2,,,,,,,0,75,72
7200,note_on,,0,0,3,,,,,,,0,66,72
7296,note_on,,0,0,4,,,,,,,0,46,72
7296,note_on,,96,0,3,,,,,,,0,66,0
7296,note_on,,96,0,4,,,,,,,0,48,0
7296,note_on,,0,0,3,,,,,,,0,67,72
7296,note_on,,0,0,2,,,,,,,0,75,72
7296,note_on,,96,0,2,,,,,,,0,75,0
7392,note_on,,96,0,4,,,,,,,0,46,0
7392,note_on,,0,0,4,,,,,,,0,58,72
7392,note_on,,96,0,2,,,,,,,0,75,0
7392,note_on,,0,0,2,,,,,,,0,74,72
7440,note_on,,144,0,3,,,,,,,0,67,0
7440,note_on,,0,0,3,,,,,,,0,66,72
7440,note_on,,0,0,2,,,,,,,0,75,72
7440,note_on,,48,0,2,,,,,,,0,74,0
7488,note_on,,96,0,4,,,,,,,0,58,0
7488,note_on,,0,0,2,,,,,,,0,74,72
7488,note_on,,0,0,4,,,,,,,0,52,72
7488,note_on,,48,0,2,,,,,,,0,75,0
7488,note_on,,48,0,3,,,,,,,0,66,0
7488,note_on,,0,0,3,,,,,,,0,67,72
7584,note_on,,0,0,4,,,,,,,0,54,72
7584,note_on,,96,0,3,,,,,,,0,67,0
7584,note_on,,96,0,4,,,,,,,0,52,0
7584,note_on,,0,0,2,,,,,,,0,72,72
7584,note_on,,96,0,2,,,,,,,0,74,0
7584,note_on,,0,0,3,,,,,,,0,69,72
7680,note_on,,0,0,4,,,,,,,0,55,72
7680,note_on,,96,0,4,,,,,,,0,54,0
7680,note_on,,0,0,2,,,,,,,0,72,72
7680,note_on,,96,0,2,,,,,,,0,72,0
7680,note_on,,0,0,3,,,,,,,0,62,72
7680,note_on,,96,0,3,,,,,,,0,69,0
7776,note_on,,0,0,2,,,,,,,0,70,72
7776,note_on,,96,0,2,,,,,,,0,72,0
7776,note_on,,576,0,1,,,,,,,0,76,72
7776,note_on,,96,0,3,,,,,,,0,62,0
7776,note_on,,0,0,3,,,,,,,0,67,72
7824,note_on,,0,0,1,,,,,,,0,77,72
7824,note_on,,48,0,3,,,,,,,0,67,0
7824,note_on,,0,0,3,,,,,,,0,69,72
7824,note_on,,48,0,1,,,,,,,0,76,0
7824,note_on,,48,0,2,,,,,,,0,70,0
7824,note_on,,0,0,2,,,,,,,0,72,72
7872,note_on,,48,0,3,,,,,,,0,69,0
7872,note_on,,48,0,1,,,,,,,0,77,0
7872,note_on,,0,0,2,,,,,,,0,70,72
7872,note_on,,0,0,3,,,,,,,0,67,72
7872,note_on,,0,0,1,,,,,,,0,76,72
7872,note_on,,48,0,2,,,,,,,0,72,0
7968,note_on,,96,0,3,,,,,,,0,67,0
7968,note_on,,0,0,2,,,,,,,0,69,72
7968,note_on,,0,0,3,,,,,,,0,65,72
7968,note_on,,96,0,1,,,,,,,0,76,0
7968,note_on,,288,0,4,,,,,,,0,55,0
7968,note_on,,0,0,4,,,,,,,0,57,72
7968,note_on,,0,0,1,,,,,,,0,74,72
7968,note_on,,96,0,2,,,,,,,0,70,0
8064,note_on,,96,0,4,,,,,,,0,57,0
8064,note_on,,0,0,4,,,,,,,0,58,72
8064,note_on,,0,0,1,,,,,,,0,73,72
8064,note_on,,0,0,2,,,,,,,0,67,72
8064,note_on,,96,0,2,,,,,,,0,69,0
8064,note_on,,0,0,3,,,,,,,0,64,72
8064,note_on,,96,0,3,,,,,,,0,65,0
8064,note_on,,96,0,1,,,,,,,0,74,0
8160,note_on,,0,0,4,,,,,,,0,57,72
8160,note_on,,96,0,4,,,,,,,0,58,0
8160,note_on,,96,0,1,,,,,,,0,73,0
8160,note_on,,0,0,2,,,,,,,0,61,72
8160,note_on,,96,0,2,,,,,,,0,67,0
8160,note_on,,0,0,1,,,,,,,0,76,88
8208,note_on,,0,0,4,,,,,,,0,55,72
8208,note_on,,48,0,4,,,,,,,0,57,0
8256,note_on,,96,0,2,,,,,,,0,61,0
8256,note_on,,48,0,4,,,,,,,0,55,0
8256,note_on,,0,0,4,,,,,,,0,53,72
8256,note_on,,0,0,1,,,,,,,0,81,88
8256,note_on,,192,0,3,,,,,,,0,64,0
8256,note_on,,0,0,3,,,,,,,0,62,72
8256,note_on,,96,0,1,,,,,,,0,76,0
8304,note_on,,48,0,4,,,,,,,0,53,0
8304,note_on,,0,0,4,,,,,,,0,52,72
8352,note_on,,96,0,3,,,,,,,0,62,0
8352,note_on,,48,0,4,,,,,,,0,52,0
8352,note_on,,0,0,4,,,,,,,0,50,72
8352,note_on,,96,0,1,,,,,,,0,81,0
8352,note_on,,0,0,1,,,,,,,0,79,88
8352,note_on,,0,0,3,,,,,,,0,52,72
8352,note_on,,96,0,2,,,,,,,0,69,72
8400,note_on,,48,0,4,,,,,,,0,50,0
8400,note_on,,0,0,4,,,,,,,0,49,72
8448,note_on,,96,0,3,,,,,,,0,52,0
8448,note_on,,0,0,3,,,,,,,0,53,72
8448,note_on,,96,0,1,,,,,,,0,79,0
8448,note_on,,0,0,2,,,,,,,0,69,72
8448,note_on,,0,0,4,,,,,,,0,50,72
8448,note_on,,48,0,4,,,,,,,0,49,0
8448,note_on,,96,0,2,,,,,,,0,69,0
8496,note_on,,48,0,2,,,,,,,0,69,0
8496,note_on,,0,0,2,,,,,,,0,74,72
8544,note_on,,96,0,3,,,,,,,0,53,0
8544,note_on,,96,0,4,,,,,,,0,50,0
8544,note_on,,0,0,3,,,,,,,0,62,72
8544,note_on,,96,0,1,,,,,,,0,77,88
8592,note_on,,96,0,2,,,,,,,0,74,0
8592,note_on,,0,0,2,,,,,,,0,72,72
8640,note_on,,0,0,2,,,,,,,0,70,72
8640,note_on,,48,0,2,,,,,,,0,72,0
8640,note_on,,0,0,1,,,,,,,0,76,88
8640,note_on,,0,0,3,,,,,,,0,67,72
8640,note_on,,96,0,3,,,,,,,0,62,0
8640,note_on,,96,0,1,,,,,,,0,77,0
8688,note_on,,0,0,2,,,,,,,0,69,72
8688,note_on,,48,0,2,,,,,,,0,70,0
8736,note_on,,0,0,3,,,,,,,0,65,72
8736,note_on,,96,0,3,,,,,,,0,67,0
8736,note_on,,96,0,1,,,,,,,0,76,0
