tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity
8165,note_on,,,,,8,0,1,,,,,0,61,64
8165,note_on,,,,,0,0,1,,,,,0,58,64
8270,note_on,,,,,0,0,1,,,,,0,76,0
8270,note_on,,,,,105,0,1,,,,,0,61,0
8285,note_on,,,,,0,0,1,,,,,0,66,64
8285,note_on,,,,,15,0,1,,,,,0,75,64
8337,note_on,,,,,52,0,1,,,,,0,75,0
8345,note_on,,,,,8,0,1,,,,,0,73,64
8390,note_on,,,,,45,0,1,,,,,0,58,0
8397,note_on,,,,,7,0,1,,,,,0,73,0
8405,note_on,,,,,8,0,1,,,,,0,75,64
8405,note_on,,,,,0,0,1,,,,,0,60,64
8457,note_on,,,,,52,0,1,,,,,0,66,0
8465,note_on,,,,,8,0,1,,,,,0,65,64
8510,note_on,,,,,45,0,1,,,,,0,75,0
8517,note_on,,,,,7,0,1,,,,,0,65,0
8525,note_on,,,,,0,0,1,,,,,0,66,64
8525,note_on,,,,,8,0,1,,,,,0,80,64
8577,note_on,,,,,52,0,1,,,,,0,66,0
8585,note_on,,,,,8,0,1,,,,,0,63,64
8630,note_on,,,,,45,0,1,,,,,0,60,0
8637,note_on,,,,,7,0,1,,,,,0,63,0
8645,note_on,,,,,8,0,1,,,,,0,65,64
8645,note_on,,,,,0,0,1,,,,,0,61,64
8697,note_on,,,,,52,0,1,,,,,0,80,0
8705,note_on,,,,,8,0,1,,,,,0,78,64
8750,note_on,,,,,45,0,1,,,,,0,61,0
8750,note_on,,,,,0,0,1,,,,,0,65,0
8757,note_on,,,,,7,0,1,,,,,0,78,0
8765,note_on,,,,,0,0,1,,,,,0,61,64
8765,note_on,,,,,0,0,1,,,,,0,59,64
8765,note_on,,,,,8,0,1,,,,,0,77,64
8817,note_on,,,,,52,0,1,,,,,0,77,0
8825,note_on,,,,,8,0,1,,,,,0,75,64
8870,note_on,,,,,0,0,1,,,,,0,61,0
8870,note_on,,,,,45,0,1,,,,,0,59,0
8877,note_on,,,,,7,0,1,,,,,0,75,0
8885,note_on,,,,,0,0,1,,,,,0,58,64
8885,note_on,,,,,0,0,1,,,,,0,66,64
8885,note_on,,,,,8,0,1,,,,,0,73,64
8937,note_on,,,,,52,0,1,,,,,0,73,0
8945,note_on,,,,,8,0,1,,,,,0,71,64
8990,note_on,,,,,45,0,1,,,,,0,66,0
8997,note_on,,,,,7,0,1,,,,,0,71,0
9005,note_on,,,,,8,0,1,,,,,0,73,64
9005,note_on,,,,,0,0,1,,,,,0,64,64
9057,note_on,,,,,52,0,1,,,,,0,73,0
9065,note_on,,,,,8,0,1,,,,,0,70,64
9110,note_on,,,,,45,0,1,,,,,0,64,0
9117,note_on,,,,,7,0,1,,,,,0,70,0
9125,note_on,,,,,8,0,1,,,,,0,66,64
9125,note_on,,,,,0,0,1,,,,,0,63,64
9230,note_on,,,,,105,0,1,,,,,0,66,0
9230,note_on,,,,,0,0,1,,,,,0,58,0
9245,note_on,,,,,0,0,1,,,,,0,56,64
9245,note_on,,,,,15,0,1,,,,,0,71,64
9297,note_on,,,,,52,0,1,,,,,0,56,0
9305,note_on,,,,,8,0,1,,,,,0,54,64
9350,note_on,,,,,45,0,1,,,,,0,63,0
9357,note_on,,,,,7,0,1,,,,,0,54,0
9365,note_on,,,,,8,0,1,,,,,0,65,64
9365,note_on,,,,,0,0,1,,,,,0,56,64
9417,note_on,,,,,52,0,1,,,,,0,71,0
9425,note_on,,,,,8,0,1,,,,,0,70,64
9470,note_on,,,,,45,0,1,,,,,0,56,0
9477,note_on,,,,,7,0,1,,,,,0,70,0
9485,note_on,,,,,8,0,1,,,,,0,71,64
9485,note_on,,,,,0,0,1,,,,,0,61,64
9537,note_on,,,,,52,0,1,,,,,0,71,0
9545,note_on,,,,,8,0,1,,,,,0,68,64
9590,note_on,,,,,45,0,1,,,,,0,61,0
9590,note_on,,,,,0,0,1,,,,,0,65,0
9597,note_on,,,,,7,0,1,,,,,0,68,0
9605,note_on,,,,,0,0,1,,,,,0,66,64
9605,note_on,,,,,8,0,1,,,,,0,70,64
9605,note_on,,,,,0,0,1,,,,,0,54,64
9657,note_on,,,,,52,0,1,,,,,0,70,0
9665,note_on,,,,,8,0,1,,,,,0,71,64
9710,note_on,,,,,0,0,1,,,,,0,66,0
9710,note_on,,,,,45,0,1,,,,,0,54,0
9717,note_on,,,,,7,0,1,,,,,0,71,0
9725,note_on,,,,,0,0,1,,,,,0,53,64
9725,note_on,,,,,8,0,1,,,,,0,73,64
9777,note_on,,,,,0,0,1,,,,,0,73,0
9777,note_on,,,,,52,0,1,,,,,0,53,0
9785,note_on,,,,,8,0,1,,,,,0,75,64
9785,note_on,,,,,0,0,1,,,,,0,51,64
9837,note_on,,,,,52,0,1,,,,,0,51,0
9837,note_on,,,,,0,0,1,,,,,0,75,0
9845,note_on,,,,,8,0,1,,,,,0,77,64
9845,note_on,,,,,0,0,1,,,,,0,49,64
9845,note_on,,,,,0,0,1,,,,,0,68,64
9897,note_on,,,,,52,0,1,,,,,0,77,0
9905,note_on,,,,,8,0,1,,,,,0,78,64
9931,note_on,,,,,26,0,1,,,,,0,78,0
9935,note_on,,,,,4,0,1,,,,,0,77,64
9950,note_on,,,,,15,0,1,,,,,0,49,0
9961,note_on,,,,,11,0,1,,,,,0,77,0
9965,note_on,,,,,0,0,1,,,,,0,59,64
9965,note_on,,,,,4,0,1,,,,,0,75,64
10017,note_on,,,,,52,0,1,,,,,0,75,0
10025,note_on,,,,,8,0,1,,,,,0,77,64
10070,note_on,,,,,45,0,1,,,,,0,59,0
10070,note_on,,,,,0,0,1,,,,,0,68,0
10077,note_on,,,,,7,0,1,,,,,0,77,0
10085,note_on,,,,,0,0,1,,,,,0,61,64
10085,note_on,,,,,0,0,1,,,,,0,59,64
10085,note_on,,,,,8,0,1,,,,,0,78,64
