tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,number,port,control,value,channel,program,note,velocity,frame_rate,hours,minutes,seconds,frames,sub_frames
5760,note_on,24,0,7,,,,,,,,,,,5,,48,100,,,,,,
5760,note_on,48,0,2,,,,,,,,,,,1,,76,100,,,,,,
5760,note_on,24,0,11,,,,,,,,,,,10,,48,100,,,,,,
5760,note_on,24,0,5,,,,,,,,,,,4,,64,100,,,,,,
5760,note_on,24,0,6,,,,,,,,,,,5,,36,100,,,,,,
5976,note_on,216,0,11,,,,,,,,,,,10,,48,0,,,,,,
5976,note_on,456,0,4,,,,,,,,,,,3,,71,0,,,,,,
5976,note_on,456,0,3,,,,,,,,,,,2,,67,0,,,,,,
5976,note_on,216,0,5,,,,,,,,,,,4,,64,0,,,,,,
5976,note_on,216,0,7,,,,,,,,,,,5,,48,0,,,,,,
5976,note_on,216,0,6,,,,,,,,,,,5,,36,0,,,,,,
6000,note_on,24,0,3,,,,,,,,,,,2,,66,100,,,,,,
6000,note_on,24,0,6,,,,,,,,,,,5,,45,100,,,,,,
6000,note_on,24,0,5,,,,,,,,,,,4,,60,100,,,,,,
6000,note_on,24,0,7,,,,,,,,,,,5,,57,100,,,,,,
6000,note_on,24,0,11,,,,,,,,,,,10,,57,100,,,,,,
6000,note_on,24,0,4,,,,,,,,,,,3,,69,100,,,,,,
6108,note_on,108,0,3,,,,,,,,,,,2,,66,0,,,,,,
6120,note_on,12,0,3,,,,,,,,,,,2,,64,100,,,,,,
6192,note_on,432,0,1,,,,,,,,,,,0,,76,0,,,,,,
6192,note_on,432,0,2,,,,,,,,,,,1,,76,0,,,,,,
6216,note_on,216,0,6,,,,,,,,,,,5,,45,0,,,,,,
6216,note_on,216,0,11,,,,,,,,,,,10,,57,0,,,,,,
6216,note_on,216,0,5,,,,,,,,,,,4,,60,0,,,,,,
6216,note_on,216,0,7,,,,,,,,,,,5,,57,0,,,,,,
6228,note_on,108,0,3,,,,,,,,,,,2,,64,0,,,,,,
6240,note_on,48,0,1,,,,,,,,,,,0,,75,100,,,,,,
6240,note_on,12,0,3,,,,,,,,,,,2,,66,100,,,,,,
6240,note_on,24,0,6,,,,,,,,,,,5,,35,100,,,,,,
6240,note_on,24,0,7,,,,,,,,,,,5,,47,100,,,,,,
6240,note_on,24,0,5,,,,,,,,,,,4,,59,100,,,,,,
6240,note_on,24,0,11,,,,,,,,,,,10,,47,100,,,,,,
6240,note_on,48,0,2,,,,,,,,,,,1,,75,100,,,,,,
6432,note_on,432,0,4,,,,,,,,,,,3,,69,0,,,,,,
6456,note_on,216,0,7,,,,,,,,,,,5,,47,0,,,,,,
6456,note_on,216,0,11,,,,,,,,,,,10,,47,0,,,,,,
6456,note_on,216,0,6,,,,,,,,,,,5,,35,0,,,,,,
6480,note_on,24,0,6,,,,,,,,,,,5,,45,100,,,,,,
6480,note_on,48,0,4,,,,,,,,,,,3,,67,100,,,,,,
6480,note_on,24,0,7,,,,,,,,,,,5,,57,100,,,,,,
6480,note_on,24,0,11,,,,,,,,,,,10,,57,100,,,,,,
6588,note_on,108,0,4,,,,,,,,,,,3,,67,0,,,,,,
6600,note_on,12,0,4,,,,,,,,,,,3,,66,100,,,,,,
6672,note_on,432,0,1,,,,,,,,,,,0,,75,0,,,,,,
6672,note_on,432,0,3,,,,,,,,,,,2,,66,0,,,,,,
6672,note_on,432,0,2,,,,,,,,,,,1,,75,0,,,,,,
6696,note_on,216,0,7,,,,,,,,,,,5,,57,0,,,,,,
