tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity
10440,note_on,60,0,1,,,,,,,,0,72,0
10440,note_on,0,0,1,,,,,,,,0,71,64
10440,note_on,120,0,2,,,,,,,,1,51,0
10500,note_on,60,0,1,,,,,,,,0,71,0
10500,note_on,0,0,1,,,,,,,,0,69,64
10560,note_on,60,0,1,,,,,,,,0,69,0
10560,note_on,120,0,2,,,,,,,,1,40,64
10560,note_on,0,0,1,,,,,,,,0,67,64
10620,note_on,60,0,1,,,,,,,,0,67,0
10620,note_on,0,0,1,,,,,,,,0,76,64
10680,note_on,120,0,2,,,,,,,,1,40,0
10680,note_on,60,0,1,,,,,,,,0,76,0
10680,note_on,0,0,1,,,,,,,,0,78,64
10740,note_on,60,0,1,,,,,,,,0,78,0
10740,note_on,0,0,1,,,,,,,,0,79,64
10800,note_on,120,0,2,,,,,,,,1,52,64
10800,note_on,0,0,1,,,,,,,,0,71,64
10800,note_on,60,0,1,,,,,,,,0,79,0
10860,note_on,60,0,1,,,,,,,,0,71,0
10860,note_on,0,0,1,,,,,,,,0,74,64
10920,note_on,120,0,2,,,,,,,,1,52,0
10920,note_on,60,0,1,,,,,,,,0,74,0
10920,note_on,0,0,1,,,,,,,,0,73,64
10980,note_on,60,0,1,,,,,,,,0,73,0
10980,note_on,0,0,1,,,,,,,,0,71,64
11040,note_on,120,0,2,,,,,,,,1,45,64
11040,note_on,60,0,1,,,,,,,,0,71,0
11040,note_on,0,0,1,,,,,,,,0,73,64
11100,note_on,60,0,1,,,,,,,,0,73,0
11100,note_on,0,0,1,,,,,,,,0,76,64
11160,note_on,0,0,1,,,,,,,,0,78,64
11160,note_on,120,0,2,,,,,,,,1,45,0
11160,note_on,60,0,1,,,,,,,,0,76,0
11220,note_on,60,0,1,,,,,,,,0,78,0
11220,note_on,0,0,1,,,,,,,,0,79,64
11280,note_on,120,0,2,,,,,,,,1,49,64
11280,note_on,60,0,1,,,,,,,,0,79,0
11280,note_on,0,0,1,,,,,,,,0,69,64
11340,note_on,60,0,1,,,,,,,,0,69,0
11340,note_on,0,0,1,,,,,,,,0,79,64
11400,note_on,0,0,1,,,,,,,,0,78,64
11400,note_on,120,0,2,,,,,,,,1,49,0
11400,note_on,60,0,1,,,,,,,,0,79,0
11460,note_on,60,0,1,,,,,,,,0,78,0
11460,note_on,0,0,1,,,,,,,,0,76,64
11520,note_on,120,0,2,,,,,,,,1,38,64
11520,note_on,0,0,1,,,,,,,,0,78,64
11520,note_on,60,0,1,,,,,,,,0,76,0
11580,note_on,0,0,1,,,,,,,,0,74,64
11580,note_on,60,0,1,,,,,,,,0,78,0
11640,note_on,0,0,1,,,,,,,,0,76,64
11640,note_on,120,0,2,,,,,,,,1,38,0
11640,note_on,60,0,1,,,,,,,,0,74,0
11700,note_on,60,0,1,,,,,,,,0,76,0
11700,note_on,0,0,1,,,,,,,,0,78,64
11760,note_on,60,0,1,,,,,,,,0,78,0
11760,note_on,0,0,1,,,,,,,,0,69,64
11760,note_on,120,0,2,,,,,,,,1,50,64
11820,note_on,0,0,1,,,,,,,,0,72,64
11820,note_on,60,0,1,,,,,,,,0,69,0
11880,note_on,120,0,2,,,,,,,,1,50,0
11880,note_on,0,0,1,,,,,,,,0,71,64
11880,note_on,60,0,1,,,,,,,,0,72,0
11940,note_on,0,0,1,,,,,,,,0,69,64
11940,note_on,60,0,1,,,,,,,,0,71,0
12000,note_on,120,0,2,,,,,,,,1,38,64
12000,note_on,0,0,1,,,,,,,,0,71,64
12000,note_on,60,0,1,,,,,,,,0,69,0
12060,note_on,60,0,1,,,,,,,,0,71,0
12060,note_on,0,0,1,,,,,,,,0,67,64
12120,note_on,120,0,2,,,,,,,,1,38,0
12120,note_on,60,0,1,,,,,,,,0,67,0
12120,note_on,0,0,1,,,,,,,,0,69,64
12180,note_on,60,0,1,,,,,,,,0,69,0
12180,note_on,0,0,1,,,,,,,,0,71,64
12240,note_on,60,0,1,,,,,,,,0,71,0
12240,note_on,0,0,1,,,,,,,,0,61,64
12240,note_on,120,0,2,,,,,,,,1,50,64
12300,note_on,60,0,1,,,,,,,,0,61,0
12300,note_on,0,0,1,,,,,,,,0,71,64
12360,note_on,60,0,1,,,,,,,,0,71,0
12360,note_on,0,0,1,,,,,,,,0,69,64
12360,note_on,120,0,2,,,,,,,,1,50,0
12420,note_on,60,0,1,,,,,,,,0,69,0
12420,note_on,0,0,1,,,,,,,,0,67,64
12480,note_on,60,0,1,,,,,,,,0,67,0
12480,note_on,0,0,1,,,,,,,,0,66,64
12480,note_on,120,0,2,,,,,,,,1,38,64
12540,note_on,60,0,1,,,,,,,,0,66,0
12540,note_on,0,0,1,,,,,,,,0,62,64
