tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,pitch,note,velocity
159720,note_on,0,0,5,,,,,,,,,5,,,69,86
159720,note_off,120,0,1,,,,,,,,,1,,,83,0
159720,note_on,0,0,1,,,,,,,,,1,,,84,86
159780,set_tempo,1320,1,0,,,,,,434782,,,,,,,
159815,note_off,95,0,5,,,,,,,,,5,,,69,0
159815,note_off,95,0,1,,,,,,,,,1,,,84,0
159840,note_on,25,0,5,,,,,,,,,5,,,67,85
159840,note_on,25,0,1,,,,,,,,,1,,,83,85
159900,set_tempo,120,1,0,,,,,,428571,,,,,,,
159995,note_off,155,0,1,,,,,,,,,1,,,83,0
160070,note_off,230,0,5,,,,,,,,,5,,,67,0
160080,note_on,85,0,1,,,,,,,,,1,,,67,82
160200,note_on,0,0,1,,,,,,,,,1,,,71,81
160200,note_off,120,0,1,,,,,,,,,1,,,67,0
160320,note_off,120,0,1,,,,,,,,,1,,,71,0
160320,note_on,0,0,1,,,,,,,,,1,,,69,79
160440,note_off,120,0,1,,,,,,,,,1,,,69,0
160440,note_on,0,0,1,,,,,,,,,1,,,72,78
160560,note_on,0,0,1,,,,,,,,,1,,,71,77
160560,note_off,120,0,1,,,,,,,,,1,,,72,0
160560,note_on,490,0,5,,,,,,,,,5,,,50,77
160680,note_on,0,0,5,,,,,,,,,5,,,54,75
160680,note_off,120,0,5,,,,,,,,,5,,,50,0
160680,note_on,0,0,1,,,,,,,,,1,,,74,75
160680,note_off,120,0,1,,,,,,,,,1,,,71,0
160800,note_off,120,0,1,,,,,,,,,1,,,74,0
160800,note_on,0,0,5,,,,,,,,,5,,,52,73
160800,note_off,120,0,5,,,,,,,,,5,,,54,0
160800,note_on,0,0,1,,,,,,,,,1,,,72,72
160880,note_off,80,0,1,,,,,,,,,1,,,72,0
160880,note_on,0,0,1,,,,,,,,,1,,,74,70
160920,note_on,0,0,5,,,,,,,,,5,,,55,70
160920,note_off,120,0,5,,,,,,,,,5,,,52,0
160960,note_on,0,0,1,,,,,,,,,1,,,72,67
160960,note_off,80,0,1,,,,,,,,,1,,,74,0
161040,note_off,80,0,1,,,,,,,,,1,,,72,0
161040,note_on,0,0,1,,,,,,,,,1,,,71,65
161040,note_on,0,0,5,,,,,,,,,5,,,54,68
161040,note_off,120,0,5,,,,,,,,,5,,,55,0
161160,note_on,0,0,5,,,,,,,,,5,,,57,66
161160,note_off,120,0,5,,,,,,,,,5,,,54,0
161160,note_on,0,0,1,,,,,,,,,1,,,72,62
161160,note_off,120,0,1,,,,,,,,,1,,,71,0
161220,set_tempo,1320,1,0,,,,,,434782,,,,,,,
161255,note_off,95,0,1,,,,,,,,,1,,,72,0
161255,note_off,95,0,5,,,,,,,,,5,,,57,0
161280,note_on,7285,0,2,,,,,,,,,2,,,71,54
161280,note_on,25,0,5,,,,,,,,,5,,,55,54
161280,set_tempo,60,1,0,,,,,,434782,,,,,,,
161520,note_on,265,0,1,,,,,,,,,1,,,76,54
161760,note_on,0,0,5,,,,,,,,,5,,,54,55
161760,note_off,480,0,5,,,,,,,,,5,,,55,0
161760,note_on,0,0,2,,,,,,,,,2,,,69,55
